Title,Publisher,Hero Name,Cosmic,Category
Something is Killing the Children Vol. 7,Independent,Multiple,No,Horror
Something is Killing the Children Vol. 8,Independent,Multiple,No,Horror
Teenage Mutant Ninja Turtles: The Last Ronin,Independent,TMNT,No,TMNT
Teenage Mutant Ninja Turtles: The Last Ronin--Lost Years,Independent,TMNT,No,TMNT
Teenage Mutant Ninja Turtles: The Last Ronin II--Re-Evolution,Independent,TMNT,No,TMNT
Bloodborne: 1-3 Slipcase Set (Graphic Novel),Independent,Multiple,No,Horror
Marvels: The Remastered Edition,Marvel,Multiple,No,Marvel History
Invincible Ultimate Collection Vol. 1,Independent,Invincible,No,Invincible
Invincible Ultimate Collection Vol. 2,Independent,Invincible,No,Invincible
Invincible Ultimate Collection Vol. 3,Independent,Invincible,No,Invincible
Invincible Ultimate Collection Vol. 4,Independent,Invincible,No,Invincible
Invincible Ultimate Collection Vol. 5,Independent,Invincible,No,Invincible
Invincible Ultimate Collection Vol. 6,Independent,Invincible,No,Invincible
Invincible Ultimate Collection Vol. 7,Independent,Invincible,No,Invincible
Invincible Ultimate Collection Vol. 8,Independent,Invincible,No,Invincible
Invincible Ultimate Collection Vol. 9,Independent,Invincible,No,Invincible
Invincible Ultimate Collection Vol. 10,Independent,Invincible,No,Invincible
Invincible Ultimate Collection Vol. 11,Independent,Invincible,No,Invincible
Invincible Ultimate Collection Vol. 12,Independent,Invincible,No,Invincible
History Of The Marvel Universe,Marvel,Multiple,Yes,Marvel History
